,code,name,c_name
0,600007,中国国贸,外资背景
1,600114,东睦股份,外资背景
2,600132,重庆啤酒,外资背景
3,600182,S佳通,外资背景
4,600595,中孚实业,外资背景
5,600641,万业企业,外资背景
6,600779,水井坊,外资背景
7,600801,华新水泥,外资背景
8,600819,耀皮玻璃,外资背景
9,000001,平安银行,外资背景
10,000005,世纪星源,外资背景
11,000541,佛山照明,外资背景
12,000608,阳光股份,外资背景
13,000659,*ST中富,外资背景
14,000869,张 裕Ａ,外资背景
15,000895,双汇发展,外资背景
16,000932,*ST华菱,外资背景
17,000935,四川双马,外资背景
18,002032,苏 泊 尔,外资背景
19,002047,宝鹰股份,外资背景
20,600023,浙能电力,核电核能
21,600089,特变电工,核电核能
22,600202,哈空调,核电核能
23,600226,瀚叶股份,核电核能
24,600269,赣粤高速,核电核能
25,600292,远达环保,核电核能
26,600307,酒钢宏兴,核电核能
27,600328,兰太实业,核电核能
28,600416,湘电股份,核电核能
29,600483,福能股份,核电核能
30,600516,方大炭素,核电核能
31,600550,保变电气,核电核能
32,600558,大西洋,核电核能
33,600622,光大嘉宝,核电核能
34,600642,申能股份,核电核能
35,600848,上海临港,核电核能
36,600875,东方电气,核电核能
37,600973,宝胜股份,核电核能
38,601106,*ST一重,核电核能
39,601179,中国西电,核电核能
40,601369,陕鼓动力,核电核能
41,601611,中国核建,核电核能
42,601727,上海电气,核电核能
43,601877,正泰电器,核电核能
44,601985,中国核电,核电核能
45,601991,大唐发电,核电核能
46,603100,川仪股份,核电核能
47,603169,兰石重装,核电核能
48,603308,应流股份,核电核能
49,603699,纽威股份,核电核能
50,000777,中核科技,核电核能
51,000825,太钢不锈,核电核能
52,000881,中广核技,核电核能
53,000883,湖北能源,核电核能
54,000899,赣能股份,核电核能
55,000922,*ST佳电,核电核能
56,000967,盈峰环境,核电核能
57,000969,安泰科技,核电核能
58,000993,闽东电力,核电核能
59,002011,盾安环境,核电核能
60,002058,威 尔 泰,核电核能
61,002130,沃尔核材,核电核能
62,002149,西部材料,核电核能
63,002167,东方锆业,核电核能
64,002212,南洋股份,核电核能
65,002227,奥 特 迅,核电核能
66,002248,*ST东数,核电核能
67,002255,海陆重工,核电核能
68,002266,浙富控股,核电核能
69,002276,万马股份,核电核能
70,002318,久立特材,核电核能
71,002364,中恒电气,核电核能
72,002366,台海核电,核电核能
73,002438,江苏神通,核电核能
74,002478,常宝股份,核电核能
75,002534,杭锅股份,核电核能
76,002564,天沃科技,核电核能
77,002665,首航节能,核电核能
78,300004,南风股份,核电核能
79,300084,海默科技,核电核能
80,300092,科新机电,核电核能
81,300153,科泰电源,核电核能
82,300185,通裕重工,核电核能
83,300411,金盾股份,核电核能
84,300489,中飞股份,核电核能
85,600209,罗顿发展,三沙概念
86,600515,海航基础,三沙概念
87,600759,洲际油气,三沙概念
88,600896,览海投资,三沙概念
89,601118,海南橡胶,三沙概念
90,000099,中信海直,三沙概念
91,000505,珠江控股,三沙概念
92,000566,海南海药,三沙概念
93,000567,海德股份,三沙概念
94,000613,*ST东海A,三沙概念
95,000691,亚太实业,三沙概念
96,000735,罗 牛 山,三沙概念
97,000886,海南高速,三沙概念
98,002320,海峡股份,三沙概念
99,002596,海南瑞泽,三沙概念
100,600071,凤凰光学,食品安全
101,600271,航天信息,食品安全
102,600288,大恒科技,食品安全
103,600602,云赛智联,食品安全
104,601933,永辉超市,食品安全
105,000061,农 产 品,食品安全
106,000530,大冷股份,食品安全
107,000701,厦门信达,食品安全
108,000997,新 大 陆,食品安全
109,002030,达安基因,食品安全
110,002161,远 望 谷,食品安全
111,002299,圣农发展,食品安全
112,002477,雏鹰农牧,食品安全
113,002512,达华智能,食品安全
114,002637,赞宇科技,食品安全
115,300012,华测检测,食品安全
116,300020,银江股份,食品安全
117,300165,天瑞仪器,食品安全
118,300203,聚光科技,食品安全
119,300260,新莱应材,食品安全
120,300271,华宇软件,食品安全
121,300306,远方信息,食品安全
122,600067,冠城大通,锂电池
123,600071,凤凰光学,锂电池
124,600076,康欣新材,锂电池
125,600096,云天化,锂电池
126,600110,诺德股份,锂电池
127,600111,北方稀土,锂电池
128,600135,乐凯胶片,锂电池
129,600139,西部资源,锂电池
130,600175,美都能源,锂电池
131,600192,长城电工,锂电池
132,600210,紫江企业,锂电池
133,600212,江泉实业,锂电池
134,600232,金鹰股份,锂电池
135,600241,时代万恒,锂电池
136,600255,梦舟股份,锂电池
137,600273,嘉化能源,锂电池
138,600336,澳柯玛,锂电池
139,600367,红星发展,锂电池
140,600390,五矿资本,锂电池
141,600405,动力源,锂电池
142,600470,六国化工,锂电池
143,600478,科力远,锂电池
144,600482,中国动力,锂电池
145,600499,科达洁能,锂电池
146,600522,中天科技,锂电池
147,600549,厦门钨业,锂电池
148,600580,卧龙电气,锂电池
149,600773,西藏城投,锂电池
150,600854,春兰股份,锂电池
151,600869,智慧能源,锂电池
152,600872,中炬高新,锂电池
153,600884,杉杉股份,锂电池
154,601012,隆基股份,锂电池
155,601168,西部矿业,锂电池
156,601311,骆驼股份,锂电池
157,603026,石大胜华,锂电池
158,603077,和邦生物,锂电池
159,000009,中国宝安,锂电池
160,000049,德赛电池,锂电池
161,000413,东旭光电,锂电池
162,000559,万向钱潮,锂电池
163,000571,新大洲Ａ,锂电池
164,000636,风华高科,锂电池
165,000733,振华科技,锂电池
166,000760,斯太尔,锂电池
167,000762,西藏矿业,锂电池
168,000839,中信国安,锂电池
169,000913,钱江摩托,锂电池
170,000962,东方钽业,锂电池
171,000969,安泰科技,锂电池
172,000973,佛塑科技,锂电池
173,002012,凯恩股份,锂电池
174,002045,国光电器,锂电池
175,002056,横店东磁,锂电池
176,002057,中钢天源,锂电池
177,002070,*ST众和,锂电池
178,002074,国轩高科,锂电池
179,002077,大港股份,锂电池
180,002080,中材科技,锂电池
181,002085,万丰奥威,锂电池
182,002091,江苏国泰,锂电池
183,002108,沧州明珠,锂电池
184,002121,科陆电子,锂电池
185,002139,拓邦股份,锂电池
186,002165,红 宝 丽,锂电池
187,002171,楚江新材,锂电池
188,002176,江特电机,锂电池
189,002190,成飞集成,锂电池
190,002192,融捷股份,锂电池
191,002206,海 利 得,锂电池
192,002240,威华股份,锂电池
193,002263,大 东 南,锂电池
194,002340,格林美,锂电池
195,002341,新纶科技,锂电池
196,002389,南洋科技,锂电池
197,002407,多氟多,锂电池
198,002411,必康股份,锂电池
199,002426,胜利精密,锂电池
200,002427,尤夫股份,锂电池
201,002455,百川股份,锂电池
202,002460,赣锋锂业,锂电池
203,002466,天齐锂业,锂电池
204,002491,通鼎互联,锂电池
205,002497,雅化集团,锂电池
206,002580,圣阳股份,锂电池
207,002594,比亚迪,锂电池
208,002617,露笑科技,锂电池
209,002631,德尔未来,锂电池
210,002632,道明光学,锂电池
211,002684,猛狮科技,锂电池
212,002709,天赐材料,锂电池
213,002723,金莱特,锂电池
214,002733,雄韬股份,锂电池
215,002759,天际股份,锂电池
216,300014,亿纬锂能,锂电池
217,300035,中科电气,锂电池
218,300037,新宙邦,锂电池
219,300068,南都电源,锂电池
220,300073,当升科技,锂电池
221,300080,易成新能,锂电池
222,600122,宏图高科,IPV6概念
223,600198,大唐电信,IPV6概念
224,600410,华胜天成,IPV6概念
225,600485,信威集团,IPV6概念
226,600498,烽火通信,IPV6概念
227,600728,佳都科技,IPV6概念
228,600770,综艺股份,IPV6概念
229,600797,浙大网新,IPV6概念
230,000063,中兴通讯,IPV6概念
231,000532,华金资本,IPV6概念
232,000851,高鸿股份,IPV6概念
233,000890,法 尔 胜,IPV6概念
234,000938,紫光股份,IPV6概念
235,002089,新 海 宜,IPV6概念
236,002095,生 意 宝,IPV6概念
237,002268,卫 士 通,IPV6概念
238,002315,焦点科技,IPV6概念
239,002396,星网锐捷,IPV6概念
240,002439,启明星辰,IPV6概念
241,002544,杰赛科技,IPV6概念
242,300017,网宿科技,IPV6概念
243,300047,天源迪科,IPV6概念
244,300051,三五互联,IPV6概念
245,300113,顺网科技,IPV6概念
246,600036,招商银行,前海概念
247,600067,冠城大通,前海概念
248,600570,恒生电子,前海概念
249,600999,招商证券,前海概念
250,000002,万 科Ａ,前海概念
251,000005,世纪星源,前海概念
252,000006,深振业Ａ,前海概念
253,000009,中国宝安,前海概念
