,date,open,close,high,low,volume,code
0,2017-01-03,4.796,4.8,4.863,4.791,129824.0,000338
1,2017-01-04,4.824,4.959,4.959,4.824,278103.0,000338
2,2017-01-05,4.959,4.974,4.978,4.921,200137.0,000338
3,2017-01-06,4.983,4.954,5.031,4.892,182181.0,000338
4,2017-01-09,4.945,5.012,5.017,4.916,173525.0,000338
5,2017-01-10,4.998,5.089,5.113,4.983,275442.0,000338
6,2017-01-11,5.099,5.06,5.128,5.041,202242.0,000338
7,2017-01-12,5.065,4.954,5.137,4.935,172969.0,000338
8,2017-01-13,4.954,5.046,5.051,4.93,167280.0,000338
9,2017-01-16,5.046,4.978,5.065,4.829,229744.0,000338
10,2017-01-17,4.964,4.921,4.988,4.858,196078.0,000338
11,2017-01-18,4.969,5.036,5.046,4.954,251179.0,000338
12,2017-01-19,5.017,5.176,5.224,5.017,385466.0,000338
13,2017-01-20,5.161,5.176,5.267,5.108,239398.0,000338
14,2017-01-23,5.176,5.272,5.306,5.176,226711.0,000338
15,2017-01-24,5.296,5.34,5.383,5.272,301769.0,000338
16,2017-01-25,5.393,5.368,5.417,5.306,217790.0,000338
17,2017-01-26,5.368,5.349,5.393,5.311,134493.0,000338
18,2017-02-03,5.349,5.349,5.359,5.263,148604.0,000338
19,2017-02-06,5.359,5.378,5.412,5.33,145885.0,000338
20,2017-02-07,5.421,5.571,5.576,5.407,422682.0,000338
21,2017-02-08,5.595,5.604,5.609,5.465,284609.0,000338
22,2017-02-09,5.556,5.585,5.715,5.556,248831.0,000338
23,2017-02-10,5.566,5.662,5.754,5.542,338768.0,000338
24,2017-02-13,5.662,5.725,5.763,5.624,287632.0,000338
25,2017-02-14,5.725,5.643,5.725,5.561,335249.0,000338
26,2017-02-15,5.653,5.566,5.653,5.537,201957.0,000338
27,2017-02-16,5.58,5.619,5.686,5.527,224155.0,000338
28,2017-02-17,5.609,5.441,5.643,5.421,243035.0,000338
29,2017-02-20,5.465,5.513,5.523,5.436,296483.0,000338
30,2017-02-21,5.513,5.527,5.59,5.489,194352.0,000338
31,2017-02-22,5.527,5.595,5.604,5.489,277045.0,000338
32,2017-02-23,5.624,5.503,5.624,5.446,286500.0,000338
33,2017-02-24,5.479,5.397,5.479,5.354,296343.0,000338
34,2017-02-27,5.393,5.388,5.441,5.349,193532.0,000338
35,2017-02-28,5.388,5.426,5.45,5.378,150704.0,000338
36,2017-03-01,5.421,5.532,5.556,5.421,299736.0,000338
37,2017-03-02,5.542,5.474,5.566,5.455,165203.0,000338
38,2017-03-03,5.532,5.537,5.595,5.484,326368.0,000338
39,2017-03-06,5.537,5.6,5.633,5.537,289269.0,000338
40,2017-03-07,5.6,5.595,5.609,5.489,221786.0,000338
41,2017-03-08,5.576,5.561,5.6,5.532,141320.0,000338
42,2017-03-09,5.537,5.373,5.542,5.359,296766.0,000338
43,2017-03-10,5.388,5.354,5.407,5.277,258624.0,000338
44,2017-03-13,5.373,5.436,5.455,5.301,243739.0,000338
45,2017-03-14,5.489,5.498,5.523,5.465,192965.0,000338
46,2017-03-15,5.484,5.518,5.537,5.441,171489.0,000338
47,2017-03-16,5.523,5.542,5.595,5.474,166757.0,000338
48,2017-03-17,5.566,5.455,5.576,5.455,167884.0,000338
49,2017-03-20,5.498,5.58,5.585,5.498,266990.0,000338
50,2017-03-21,5.571,5.624,5.628,5.527,281128.0,000338
51,2017-03-22,5.58,5.556,5.662,5.547,233893.0,000338
52,2017-03-23,5.566,5.441,5.6,5.393,350523.0,000338
53,2017-03-24,5.431,5.431,5.46,5.383,344513.0,000338
54,2017-03-27,5.393,5.421,5.494,5.393,233737.0,000338
55,2017-03-28,5.421,5.45,5.479,5.407,228876.0,000338
56,2017-03-29,5.455,5.393,5.47,5.364,264649.0,000338
57,2017-03-30,5.523,5.441,5.571,5.417,554718.0,000338
58,2017-03-31,5.474,5.417,5.484,5.397,321085.0,000338
59,2017-04-05,5.465,5.576,5.595,5.441,571055.0,000338
60,2017-04-06,5.585,5.566,5.59,5.537,284287.0,000338
61,2017-04-07,5.571,5.566,5.595,5.532,285182.0,000338
62,2017-04-10,5.556,5.585,5.677,5.537,423950.0,000338
63,2017-04-11,5.566,5.58,5.628,5.474,396811.0,000338
64,2017-04-12,5.551,5.614,5.648,5.542,369930.0,000338
65,2017-04-13,5.595,5.571,5.619,5.537,286463.0,000338
66,2017-04-14,5.648,5.624,5.72,5.619,558593.0,000338
67,2017-04-17,5.628,5.71,5.749,5.604,449959.0,000338
68,2017-04-18,5.696,5.624,5.725,5.614,359522.0,000338
69,2017-04-19,5.595,5.484,5.604,5.417,421209.0,000338
70,2017-04-20,5.455,5.561,5.576,5.441,310905.0,000338
71,2017-04-21,5.561,5.542,5.595,5.494,218104.0,000338
72,2017-04-24,5.537,5.296,5.537,5.296,342453.0,000338
73,2017-04-25,5.296,5.291,5.393,5.277,241141.0,000338
74,2017-04-26,5.311,5.373,5.383,5.311,259062.0,000338
75,2017-04-27,5.354,5.378,5.388,5.272,238183.0,000338
76,2017-04-28,5.402,5.402,5.446,5.349,234516.0,000338
77,2017-05-02,5.412,5.368,5.426,5.359,221991.0,000338
78,2017-05-03,5.368,5.325,5.373,5.306,249560.0,000338
79,2017-05-04,5.311,5.296,5.33,5.258,228636.0,000338
80,2017-05-05,5.272,5.118,5.291,5.099,332803.0,000338
81,2017-05-08,5.113,4.993,5.113,4.993,227875.0,000338
82,2017-05-09,4.998,5.094,5.104,4.95,181614.0,000338
83,2017-05-10,5.118,5.036,5.181,5.036,225611.0,000338
84,2017-05-11,5.017,5.152,5.157,5.012,233312.0,000338
85,2017-05-12,5.176,5.142,5.176,5.113,160147.0,000338
86,2017-05-15,5.171,5.19,5.214,5.166,186145.0,000338
87,2017-05-16,5.195,5.301,5.301,5.142,254174.0,000338
88,2017-05-17,5.335,5.306,5.354,5.296,210062.0,000338
89,2017-05-18,5.258,5.32,5.364,5.234,197054.0,000338
90,2017-05-19,5.306,5.296,5.349,5.253,154348.0,000338
91,2017-05-22,5.277,5.258,5.316,5.224,148750.0,000338
92,2017-05-23,5.248,5.166,5.277,5.137,221336.0,000338
93,2017-05-24,5.147,5.205,5.219,5.108,211487.0,000338
94,2017-05-25,5.195,5.349,5.354,5.171,283085.0,000338
95,2017-05-26,5.335,5.388,5.421,5.325,200603.0,000338
96,2017-05-31,5.417,5.373,5.474,5.359,209068.0,000338
97,2017-06-01,5.359,5.344,5.402,5.335,195839.0,000338
98,2017-06-02,5.354,5.508,5.513,5.344,353508.0,000338
99,2017-06-05,5.527,5.527,5.561,5.479,229953.0,000338
100,2017-06-06,5.498,5.402,5.498,5.354,355970.0,000338
101,2017-06-07,5.412,5.479,5.494,5.388,258324.0,000338
102,2017-06-08,5.479,5.498,5.518,5.426,298565.0,000338
103,2017-06-09,5.489,5.58,5.595,5.46,405207.0,000338
104,2017-06-12,5.571,5.677,5.715,5.518,520443.0,000338
105,2017-06-13,5.662,5.681,5.72,5.614,351153.0,000338
106,2017-06-14,5.677,5.604,5.715,5.566,344092.0,000338
107,2017-06-15,5.6,5.595,5.624,5.561,270048.0,000338
108,2017-06-16,5.595,5.532,5.624,5.513,234286.0,000338
109,2017-06-19,5.547,5.686,5.691,5.527,319824.0,000338
110,2017-06-20,5.71,5.73,5.802,5.696,437958.0,000338
111,2017-06-21,5.758,5.802,5.802,5.696,306497.0,000338
