,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2,420,吉林化纤,化纤,吉林,59.92,16.63,19.71,544919.31,146028.31,192372.34,138956.16,0.71,0.042,1.41,2.38,19960802,-76664.46,-0.39,58.43,271.06,12.02,5.16,61666.0
24,2845,同兴达,元器件,深圳,43.84,0.48,2.01,310396.41,280216.47,20716.85,50258.78,2.5,0.54,5.31,5.75,20170125,34880.62,1.73,45.27,162.06,10.61,4.04,16168.0
70,2475,立讯精密,元器件,深圳,56.91,31.62,31.73,2417419.25,1541855.88,536316.94,455836.19,1.44,0.341,3.82,6.77,20100915,426315.75,1.34,65.14,58.98,21.87,7.79,27530.0
96,38,深大通,广告包装,深圳,35.15,0.79,5.23,569253.19,299103.97,12567.57,431336.81,8.25,0.53,10.14,2.36,19940808,43815.5,0.84,66.06,145.09,35.15,24.93,13692.0
97,2555,三七互娱,互联网,安徽,28.25,6.23,21.48,873319.5,284776.44,26405.72,195185.88,0.91,0.57,3.07,6.92,20110302,241642.75,1.12,21.73,61.04,68.69,27.13,40126.0
115,2008,大族激光,电器仪表,深圳,27.56,9.92,10.67,1561020.13,1047977.13,133630.38,79206.18,0.74,1.408,6.46,8.01,20040625,421052.91,3.95,78.69,137.31,43.0,16.85,57211.0
125,498,山东路桥,建筑施工,山东,13.82,3.54,11.2,1690032.0,1413923.25,57744.11,-55661.8,-0.5,0.367,3.46,1.96,19970609,240545.16,2.15,86.9,65.87,12.95,5.23,46036.0
165,2384,东山精密,通信设备,江苏,67.89,5.44,10.71,1945633.75,1246272.88,349774.88,586613.19,5.48,0.346,7.18,4.36,20100409,67315.9,0.63,102.33,151.8,13.8,3.55,12114.0
169,2273,水晶光电,元器件,浙江,47.66,6.12,6.64,375162.72,157117.38,114569.26,147370.38,2.22,0.41,4.7,5.51,20080919,97524.27,1.47,33.41,59.41,31.84,17.82,49332.0
174,2503,搜于特,服饰,广东,25.6,20.24,31.24,996288.81,846060.81,39063.0,97478.36,0.31,0.173,1.8,3.28,20101117,149663.13,0.48,212.34,109.22,10.72,4.3,24800.0
182,2139,拓邦股份,元器件,深圳,33.82,5.1,6.8,304712.34,179718.55,47843.76,76650.07,1.13,0.26,2.79,4.11,20070629,46661.01,0.69,53.73,63.96,24.32,8.73,38058.0
187,703,恒逸石化,化纤,广西,15.78,14.73,16.48,3143869.0,1127855.5,782851.25,514976.56,3.12,0.83,7.54,2.29,19970328,569161.44,3.45,112.74,168.7,3.83,2.87,15659.0
197,2562,兄弟科技,化工原料,浙江,25.58,3.07,5.41,255062.45,109689.42,122359.02,84874.1,1.57,0.463,3.63,4.35,20110310,57573.36,1.06,46.16,157.91,46.97,23.24,18115.0
199,2222,福晶科技,元器件,福建,61.12,4.21,4.28,85761.27,37548.8,35684.31,6664.65,0.16,0.247,1.73,11.63,20080319,19441.03,0.45,50.3,102.01,60.46,30.57,44288.0
200,2110,三钢闽光,普钢,福建,8.72,9.91,13.74,1548558.13,812630.44,639460.06,458222.59,3.34,1.803,6.93,3.03,20070126,315408.0,2.3,63.08,373.03,22.52,15.65,39322.0
207,2092,中泰化学,化工原料,新疆,11.14,20.34,21.46,5476815.5,1942035.0,2636835.0,927993.63,4.32,0.953,7.76,1.82,20061208,492037.84,2.29,72.52,186.97,20.91,7.61,94007.0
228,2094,青岛金王,日用化工,山东,13.85,3.52,3.93,465394.41,262066.67,16935.39,108215.42,2.76,1.01,6.36,2.82,20061215,92630.38,2.36,97.82,232.46,18.78,11.78,20911.0
272,2217,合力泰,元器件,山东,28.38,17.58,31.28,1840910.75,1128832.63,267497.94,447887.19,1.43,0.29,3.12,3.52,20080220,204815.42,0.65,34.3,57.0,17.72,8.77,30841.0
278,2624,完美世界,影视音像,浙江,30.71,3.36,13.15,1664498.25,1013521.88,49339.59,359192.22,2.73,0.82,5.77,5.82,20111028,257361.5,1.96,55.96,50.29,57.36,19.52,14399.0
299,2396,星网锐捷,通信设备,福建,35.99,5.34,5.83,568603.0,433921.84,44939.05,71006.05,1.22,0.5,5.15,4.33,20100623,157147.45,2.69,38.07,53.95,37.52,5.89,31270.0
312,717,韶钢松山,普钢,广东,9.65,24.2,24.2,1503143.13,474413.91,806384.06,322934.5,1.33,0.723,0.91,10.2,19970508,-408098.88,-1.69,96.6,1652.84,14.1,9.44,141767.0
360,2456,欧菲科技,元器件,深圳,44.64,26.58,27.15,3128681.75,1924986.0,767269.88,295511.72,1.09,0.376,3.3,6.78,20100803,350276.44,1.29,28.69,80.3,12.59,4.18,79494.0
361,2093,国脉科技,电信运营,福建,70.08,8.48,10.08,465189.44,315500.75,51551.6,140331.92,1.39,0.099,2.91,3.18,20061215,55882.21,0.55,22.78,96.2,31.47,9.49,59883.0
365,2334,英威腾,电气设备,深圳,26.24,5.64,7.56,293660.81,196928.5,20886.49,27072.23,0.36,0.235,2.28,3.61,20100113,75530.49,1.0,58.86,200.32,38.08,12.6,65458.0
374,2125,湘潭电化,化工原料,湖南,67.57,2.23,3.46,239177.42,79223.17,112295.52,69002.52,2.0,0.116,3.17,3.31,20070403,4175.03,0.12,20.97,194.74,27.11,7.61,28758.0
384,2127,南极电商,互联网,江苏,61.08,9.68,16.37,226470.95,150911.69,386.61,52833.8,0.32,0.16,1.15,10.47,20070418,77743.86,0.48,32.57,68.39,84.22,60.5,14505.0
390,2078,太阳纸业,造纸,山东,12.51,25.3,25.93,2353648.0,912872.5,1089375.88,120874.42,0.47,0.54,3.61,2.45,20061116,482345.41,1.86,34.36,109.1,24.93,10.03,62117.0
424,2648,卫星石化,化工原料,浙江,18.01,8.01,10.64,1074947.38,595736.06,317853.25,414281.53,3.89,0.81,6.53,2.4,20111228,148896.92,1.4,77.08,601.88,23.91,11.36,32000.0
445,2589,瑞康医药,医药商业,山东,20.2,9.03,15.05,2334750.25,1850120.75,122672.57,401174.63,2.67,0.48,5.0,2.59,20110610,193888.75,1.29,52.91,93.96,17.35,4.34,32068.0
454,735,罗 牛 山,农业综合,海南,43.79,10.6,11.52,618940.0,207991.38,180241.88,155903.09,1.35,0.129,3.11,2.42,19970611,72196.31,0.63,116.29,85.11,30.92,13.88,90000.0
459,2463,沪电股份,元器件,江苏,43.04,16.73,16.74,586873.19,280990.75,254719.16,16590.57,0.1,0.097,2.06,2.7,20100818,133145.98,0.8,21.37,150.19,18.59,4.8,90112.0
465,639,西王食品,食品,山东,33.47,3.77,4.55,652701.75,190739.77,71956.53,64573.03,1.42,0.445,4.61,4.31,19961126,88951.9,1.96,117.23,73.96,36.98,4.73,14250.0
470,938,紫光股份,软件服务,北京,44.82,2.06,10.42,4089620.75,1923148.63,38908.73,2106400.25,20.21,1.08,23.68,2.73,19991104,225695.67,2.17,52.1,116.67,22.96,4.17,38590.0
497,2636,金安国纪,元器件,上海,20.97,2.46,7.28,353423.47,262877.69,76302.57,19133.28,0.26,0.544,2.86,5.32,20111125,110458.61,1.52,25.06,150.68,27.17,15.25,55986.0
518,2354,天神娱乐,互联网,辽宁,17.08,4.83,8.92,1324858.13,238965.42,2907.28,498399.56,5.59,0.85,9.2,2.08,20100209,197056.67,2.21,70.79,121.66,63.67,33.54,34575.0
520,2320,海峡股份,水运,海南,35.83,2.07,5.08,383814.06,127624.9,237275.55,201856.23,3.97,0.419,7.03,2.84,20091216,79879.03,1.57,28.34,74.87,45.22,28.6,17756.0
527,2775,文科园林,建筑施工,深圳,21.14,1.17,2.48,275576.5,181641.27,2524.23,53492.69,2.16,0.698,5.76,3.41,20150629,60923.4,2.46,90.41,70.4,17.76,8.97,18368.0
538,2035,华帝股份,家用电器,广东,38.01,5.19,5.82,393989.56,286361.88,55301.11,21978.92,0.38,0.536,3.36,8.07,20040901,99743.09,1.71,30.94,54.91,44.2,7.63,10071.0
548,2833,弘亚数控,专用机械,广东,32.47,0.33,1.35,106141.42,84932.96,13542.4,32809.37,2.43,1.45,6.91,8.97,20161228,39719.84,2.94,59.83,61.26,39.02,30.92,9696.0
563,807,云铝股份,铝,云南,40.16,22.53,26.07,3454807.5,983030.5,1790275.0,641775.19,2.46,0.162,3.71,2.35,19980408,28404.51,0.11,47.69,132.87,12.13,2.58,123336.0
575,676,智度股份,互联网,河南,25.26,3.16,9.66,739888.38,436524.06,917.24,350194.59,3.63,0.342,5.05,2.28,19961224,37842.05,0.39,199.99,119.79,12.77,7.46,40598.0
592,2734,利民股份,农药化肥,江苏,26.46,0.84,1.65,232356.75,116592.01,73412.63,108572.86,6.59,0.676,9.98,2.39,20150127,37338.65,2.27,26.65,60.3,28.03,11.15,15044.0
619,488,晨鸣纸业,造纸,山东,8.9,11.06,19.36,9878923.0,4997420.5,2727077.0,614925.75,3.18,1.16,8.55,1.94,20001120,780880.44,4.03,32.33,74.47,33.26,12.36,89049.0
626,932,*ST华菱,普钢,湖南,7.36,30.15,30.16,7216866.5,2666235.75,4018945.5,702743.44,2.33,0.853,2.92,2.87,19990803,-210050.3,-0.7,62.77,334.58,12.29,4.58,74517.0
629,90,天健集团,建筑施工,深圳,16.98,7.74,11.98,2367373.25,2003828.38,31643.46,228084.55,1.9,0.454,5.41,1.9,19990721,205505.88,1.72,27.26,145.65,30.54,11.97,40974.0
652,672,上峰水泥,水泥,甘肃,14.66,8.14,8.14,624103.44,265314.13,227190.45,-97110.06,-1.19,0.56,2.32,4.71,19961218,180510.67,2.22,37.93,456.55,32.35,15.5,85657.0
689,2530,金财互联,专用机械,江苏,54.55,2.12,4.91,451306.94,237620.72,25632.25,295384.72,6.02,0.302,7.84,2.8,20101231,37645.23,0.77,134.29,1352.47,49.14,24.44,14214.0
710,2597,金禾实业,化工原料,安徽,14.48,5.6,5.64,453788.66,288532.63,127853.63,48857.87,0.87,1.24,5.26,4.55,20110707,169344.91,3.0,28.25,97.1,31.34,21.2,27615.0
760,798,中水渔业,渔业,北京,23.44,3.19,3.19,130640.63,74060.18,37755.3,47049.7,1.47,0.268,2.46,3.41,19980212,-3979.37,-0.12,39.37,450.54,11.41,14.41,22452.0
768,2497,雅化集团,化工原料,四川,62.12,8.15,9.6,408606.0,131194.11,93815.5,37847.42,0.39,0.171,2.62,5.43,20101109,91175.8,0.95,52.07,68.79,34.56,9.75,101618.0
782,2215,诺 普 信,农药化肥,深圳,19.03,7.1,9.14,392455.88,231006.5,29460.25,29675.8,0.32,0.274,2.04,3.4,20080218,55424.26,0.61,32.37,204.53,33.89,11.47,52120.0
798,2425,凯撒文化,互联网,广东,32.66,7.52,8.14,444563.06,111429.2,1023.42,214373.2,2.63,0.186,4.36,1.86,20100608,54111.03,0.66,35.18,71.04,67.0,33.05,24922.0
802,2351,漫步者,电脑设备,深圳,40.39,2.68,5.88,196976.13,145362.17,37094.76,71787.02,1.22,0.171,2.98,3.09,20100205,38976.7,0.66,33.63,59.98,34.1,15.82,41275.0
806,50,深天马Ａ,元器件,深圳,30.36,14.01,14.01,2723411.25,953202.69,652960.94,1133764.63,8.09,0.538,10.3,2.11,19950315,160825.38,1.15,30.28,99.48,21.23,7.46,74135.0
817,2742,三圣股份,其他建材,重庆,50.22,1.43,4.32,383072.56,177322.97,93416.53,25237.18,0.58,0.312,3.24,6.43,20150217,64388.65,1.49,20.59,75.46,23.0,10.49,38951.0
829,2128,露天煤业,煤炭开采,内蒙,10.77,15.88,16.34,1419173.38,521702.16,673068.31,125121.07,0.77,0.734,6.31,1.67,20070418,649448.38,3.97,45.93,141.36,42.02,22.18,54585.0
843,786,北新建材,其他建材,北京,18.74,14.14,17.89,1640711.75,620755.13,738117.88,304224.41,1.7,0.875,6.51,3.36,19970606,627539.88,3.51,38.0,100.01,34.05,19.3,75549.0
857,605,渤海股份,水务,北京,52.57,1.95,2.52,551753.38,144520.02,106594.97,131192.72,5.21,0.27,7.9,2.36,19960913,38354.67,1.52,103.0,109.7,29.06,5.87,28000.0
859,2748,世龙实业,化工原料,江西,19.45,0.82,2.4,132254.05,58538.73,55490.13,33256.03,1.39,0.57,4.78,3.09,20150319,51051.53,2.13,30.82,93.17,28.24,14.63,20441.0
860,988,华工科技,电器仪表,湖北,50.47,8.91,10.06,667859.25,475938.84,115215.3,93272.93,0.93,0.29,3.8,4.49,20000608,145601.56,1.45,34.38,52.06,25.14,7.74,92861.0
877,2656,摩登大道,服饰,广东,67.55,2.43,4.45,327079.06,153175.31,6604.62,163024.06,3.66,0.28,5.29,4.57,20120228,23664.96,0.53,26.69,296.72,53.98,18.23,5438.0
891,886,海南高速,路桥,海南,46.7,9.65,9.89,317288.59,211983.42,11646.78,94393.02,0.95,0.112,2.73,2.56,19980123,39049.12,0.39,203.93,134.75,45.41,25.37,67317.0
909,898,鞍钢股份,普钢,辽宁,10.67,61.49,72.35,8823500.0,2724900.0,4747000.0,3151900.0,4.36,0.454,6.59,0.98,19971225,528400.0,0.73,47.44,236.23,12.25,5.43,109351.0
915,821,京山轻机,轻工机械,湖北,41.93,3.45,4.78,304917.72,171208.91,35467.76,86313.36,1.81,0.222,3.84,3.23,19980626,34133.93,0.71,20.74,136.68,29.24,9.9,38640.0
926,2496,辉丰股份,农药化肥,江苏,18.45,10.24,15.07,821898.88,449473.81,213365.59,96744.0,0.64,0.218,2.46,2.18,20101109,109746.97,0.73,162.39,134.08,7.78,3.67,63231.0
931,2757,南兴装备,家居用品,广东,39.57,0.38,1.11,105552.92,58261.65,32083.8,35031.4,3.15,0.69,7.67,4.67,20150527,34633.32,3.12,48.39,66.58,28.75,13.96,12888.0
938,2627,宜昌交运,公共交通,湖北,26.99,1.32,1.85,347867.22,203692.94,63025.18,132383.09,7.15,0.517,14.9,1.25,20111103,41671.4,2.25,25.84,121.97,11.39,5.99,11504.0
