,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600793,宜宾纸业,71.25,26.77,7.9799,131.9431,1.253,492.702,4.679
1,000526,*ST紫学,70.23,6.16,34.7689,100.4168,1.0438,1628.5595,16.9297
2,000717,韶钢松山,58.6,5.73,9.6201,649.6478,0.2685,11336.6476,4.6854
3,600338,西藏珠峰,35.49,48.67,69.2481,569.8767,0.8726,1170.6904,1.7927
4,600230,沧州大化,30.78,31.71,53.9604,656.0819,2.2301,2068.5829,7.0314
5,600641,万业企业,27.49,85.38,61.8699,1577.4457,1.9567,1847.3885,2.2915
6,600225,*ST松江,23.83,80.09,17.0217,447.5248,0.4783,558.7135,0.5972
7,600507,方大特钢,23.32,11.23,24.9481,704.5549,0.5313,6271.7057,4.7294
8,600309,万华化学,23.13,19.89,38.8206,4861.0379,1.7779,24430.0865,8.9356
9,002366,台海核电,19.63,40.47,61.1049,425.8192,0.9822,1052.0314,2.4266
10,603868,飞科电器,19.39,22.0,39.2336,378.9907,0.87,1722.6533,3.9546
11,603288,海天味业,18.21,24.51,44.8929,1823.1879,0.674,7437.5811,2.7496
12,603305,旭升股份,18.13,31.5,46.8338,110.43,0.3076,350.4808,0.9762
13,600615,丰华股份,17.31,209.72,21.1639,101.4667,0.5396,48.38,0.2573
14,002466,天齐锂业,16.75,38.26,68.6453,923.9907,0.9291,2414.5548,2.428
15,300450,先导智能,16.72,28.74,44.6041,178.983,0.4386,622.6327,1.526
16,600566,济川药业,16.16,20.7,85.31,581.8112,0.7186,2810.1698,3.4709
17,600393,粤泰股份,15.98,24.21,47.3174,911.8026,0.3595,3765.1763,1.4845
18,600282,南钢股份,15.72,7.12,14.1414,1208.1563,0.3049,16958.2085,4.2801
19,000895,双汇发展,15.62,7.93,18.598,1904.0549,0.577,23997.1628,7.2728
20,603595,东尼电子,15.59,19.95,39.9453,46.5082,0.6201,233.0902,3.1078
21,600732,ST新梅,15.59,234.75,58.1725,71.4839,0.1601,30.4506,0.0682
22,603444,吉比特,15.29,41.55,91.432,299.3521,4.1727,720.3096,10.0405
23,600519,贵州茅台,14.87,46.51,89.6187,11250.8609,8.9562,24190.0302,19.2565
24,600340,华夏幸福,14.49,24.11,57.5249,5367.1831,1.8163,22258.8948,7.5327
25,000997,新大陆,14.35,17.07,37.2032,428.0259,0.4561,2507.1939,2.6717
26,300156,神雾环保,14.33,19.61,32.5981,404.8053,0.4007,2064.136,2.0436
27,300415,伊之密,14.33,14.35,37.0839,133.4296,0.3088,929.2579,2.151
28,002833,弘亚数控,14.27,30.33,39.2439,122.7622,0.9078,404.7347,2.993
29,600550,保变电气,14.15,4.63,18.8515,69.2636,0.0451,1493.6004,0.9732
30,002711,欧浦智网,14.09,8.62,8.0384,236.4098,0.3581,2739.5273,4.1505
31,002136,安纳达,13.86,14.47,23.9758,81.1803,0.3775,560.8642,2.6084
32,002841,视源股份,13.85,8.31,21.6718,309.8173,0.7625,3727.6342,9.1743
33,300393,中来股份,13.79,9.79,22.4064,153.8617,0.8417,1571.4548,8.5968
34,000779,三毛派神,13.76,27.28,13.1357,34.9345,0.1873,128.0491,0.6868
35,000018,神州长城,13.72,8.87,23.3211,268.6065,0.1581,3025.0824,1.7812
36,002415,海康威视,13.68,20.01,42.7228,3291.5461,0.3566,16447.5397,1.7821
37,002508,老板电器,13.6,18.69,57.3146,597.7579,0.6298,3197.758,3.3694
38,000822,山东海化,13.57,15.14,23.2958,337.2595,0.3767,2226.2254,2.4871
39,603612,索通发展,13.56,15.23,27.544,216.1467,1.1974,1419.122,7.8619
40,300208,恒顺众昇,13.55,30.64,42.2451,250.5474,0.3268,817.6875,1.0667
41,603129,春风动力,13.44,7.32,34.0246,60.6518,0.6065,828.3066,8.283
42,002892,科力尔,13.44,12.92,28.0421,36.1864,0.5482,279.9898,4.2422
43,000932,*ST华菱,13.3,2.73,9.7817,956.2617,0.317,35026.2963,11.6148
44,002714,牧原股份,13.17,28.37,34.3574,1200.2683,1.036,4230.6557,3.6519
45,000921,海信科龙,13.1,3.81,18.5084,672.0989,0.4932,17606.3574,12.9199
46,002884,凌霄泵业,13.04,17.26,28.2465,76.403,1.315,442.5434,7.6169
47,603369,今世缘,12.92,35.99,70.6787,649.3312,0.5176,1803.7219,1.4378
48,002323,雅百特,12.85,18.67,33.859,116.5274,0.1562,624.0265,0.8367
49,002648,卫星石化,12.84,11.99,23.8418,484.1789,0.6025,4035.6868,5.0225
50,002035,华帝股份,12.64,8.7,43.8356,235.7959,0.4053,2707.6042,4.6541
51,002215,诺普信,12.63,14.13,35.5521,234.7225,0.2567,1660.8362,1.8169
52,000848,承德露露,12.56,21.92,45.1204,227.6467,0.2326,1038.2717,1.061
53,600280,中央商场,12.5,5.46,24.0112,242.7913,0.2114,4441.9686,3.8681
54,002891,中宠股份,12.45,9.2,27.1877,42.9615,0.5728,466.6183,6.2215
55,603338,浙江鼎力,12.39,27.05,43.8785,149.5237,0.9201,552.6637,3.401
56,002468,申通快递,12.36,13.42,19.8534,746.5009,0.4876,5561.429,3.633
57,002002,鸿达兴业,12.35,16.43,36.2226,504.9552,0.2086,3073.2477,1.2695
58,600298,安琪酵母,12.32,14.46,36.1935,420.9094,0.5107,2909.8276,3.5309
59,603658,安图生物,12.24,32.86,69.5864,191.4316,0.4557,582.5218,1.3869
60,000688,建新矿业,12.06,37.87,58.5649,241.4998,0.2123,637.5816,0.5606
61,300146,汤臣倍健,11.92,39.16,66.9287,582.2685,0.396,1486.5427,1.0111
62,603025,大豪科技,11.85,36.43,53.0547,177.5237,0.3971,487.2735,1.09
63,300482,万孚生物,11.8,24.36,64.5333,109.248,0.6207,448.4383,2.5479
64,300497,富祥股份,11.78,21.3,39.7465,101.1114,0.9,474.5048,4.2239
65,000418,小天鹅A,11.72,6.92,25.612,731.5405,1.1566,10568.0609,16.7087
66,603721,中广天择,11.71,23.26,35.6596,44.1821,0.589,189.8927,2.5319
67,300696,爱乐达,11.68,56.41,74.2336,35.9569,0.6954,63.7365,1.2328
68,002372,伟星新材,11.66,19.59,44.9694,312.2588,0.3096,1593.7215,1.5804
69,603568,伟明环保,11.64,53.38,65.6164,246.3164,0.3584,461.4069,0.6714
70,300693,盛弘股份,11.63,13.38,50.0095,31.7102,0.4634,236.9217,3.4625
71,603899,晨光文具,11.61,10.37,26.5796,289.0744,0.3142,2785.4081,3.0276
72,600816,安信信托,11.42,68.56,80.6161,1612.0172,0.3536,2351.1601,0.5158
73,600995,文山电力,11.42,18.91,34.044,199.2808,0.4164,1053.4248,2.2013
74,300357,我武生物,11.34,47.67,96.9613,78.7301,0.4871,165.1329,1.0218
75,600400,红豆股份,11.23,31.17,22.3463,498.3718,0.2754,1598.4978,0.8834
76,002143,印纪传媒,11.01,34.72,52.8152,267.7795,0.242,771.102,0.6971
77,603816,顾家家居,10.97,12.47,38.2486,387.9871,0.9405,3111.0516,7.5419
78,600885,宏发股份,10.94,13.32,42.126,403.6444,0.7587,3028.318,5.6926
79,300484,蓝海华腾,10.91,24.06,40.3388,70.8406,0.3405,294.3718,1.4152
80,600273,嘉化能源,10.9,17.22,27.5613,458.8382,0.3512,2663.5338,2.039
81,600452,涪陵电力,10.89,11.17,18.3289,109.64,0.6852,981.3028,6.1331
82,600696,*ST匹凸,10.89,7.19,8.1858,5.4329,0.0159,75.4816,0.2216
83,002236,大华股份,10.83,13.16,39.4475,983.0012,0.339,7464.6649,2.5745
84,300014,亿纬锂能,10.81,17.3,29.5315,232.5293,0.2716,1343.9906,1.5701
85,000629,*ST钒钛,10.8,9.84,18.0144,415.8448,0.0484,4225.1497,0.4918
86,300577,开润股份,10.73,12.17,31.6761,60.2708,0.5022,495.2121,4.1265
87,600409,三友化工,10.58,9.63,26.6473,962.1326,0.466,9989.4441,4.839
88,002748,世龙实业,10.49,17.98,31.9846,118.6678,0.4944,659.7892,2.7491
89,600675,中华企业,10.48,9.24,22.0001,380.6901,0.2038,4116.9409,2.205
90,603228,景旺电子,10.47,16.03,32.0382,315.8768,0.7742,1969.9832,4.8283
91,000915,山大华特,10.45,16.96,68.5306,146.7323,0.6261,865.1216,3.6918
92,300033,同花顺,10.42,47.34,88.2244,286.406,0.5327,604.9291,1.1252
93,000423,东阿阿胶,10.41,30.72,66.1262,901.4704,1.3783,2934.3916,4.4866
94,603239,浙江仙通,10.4,26.74,45.9958,95.6229,0.3532,357.5254,1.3206
95,002275,桂林三金,10.33,34.58,73.2164,252.4687,0.4277,730.0654,1.2369
96,002595,豪迈科技,10.31,25.06,39.0194,370.9899,0.4637,1479.8536,1.8498
97,603557,起步股份,10.3,17.69,35.6443,101.4909,0.2399,573.6952,1.3563
98,002128,露天煤业,10.29,26.39,46.5198,1051.46,0.6433,3983.4652,2.4372
99,603113,金能科技,10.27,11.6,19.0429,363.9446,0.5384,3137.2555,4.6413
100,000813,德展健康,10.22,53.73,85.7997,427.3478,0.1906,795.2697,0.3547
101,600763,通策医疗,10.21,17.39,41.0676,88.3322,0.2754,507.9343,1.5841
102,603776,永安行,10.2,12.93,28.3122,61.3551,0.8521,474.4589,6.5897
103,002507,涪陵榨菜,10.2,21.68,46.9962,171.9516,0.2178,793.0402,1.0046
