,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,潍柴动力,7.720,7.730,7.680,7.800,7.630,7.670,7.680,36419740,281458261.630,1007,7.670,1250,7.660,2757,7.650,5646,7.640,3541,7.630,1444,7.680,1299,7.690,2061,7.700,1722,7.710,4565,7.720,2017-12-06,13:36:36,000338
0,潍柴动力,7.720,7.730,7.670,7.800,7.630,7.660,7.670,36745140,283952922.630,884,7.660,2841,7.650,5667,7.640,3532,7.630,3312,7.620,1273,7.670,1514,7.680,1310,7.690,2233,7.700,1724,7.710,2017-12-06,13:38:39,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.660,7.670,36830840,284609529.630,1912,7.660,2895,7.650,5544,7.640,3737,7.630,3312,7.620,1239,7.670,1590,7.680,1310,7.690,2233,7.700,1713,7.710,2017-12-06,13:39:30,000338
0,潍柴动力,7.720,7.730,7.670,7.800,7.630,7.660,7.670,36835640,284646315.630,2460,7.660,3005,7.650,5544,7.640,3707,7.630,3322,7.620,1249,7.670,1574,7.680,1310,7.690,2233,7.700,1713,7.710,2017-12-06,13:39:45,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.660,7.670,36881440,284997544.630,2454,7.660,3104,7.650,4479,7.640,3747,7.630,3327,7.620,820,7.670,1734,7.680,1310,7.690,2233,7.700,1695,7.710,2017-12-06,13:40:15,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.660,7.670,36881440,284997544.630,2554,7.660,3104,7.650,4479,7.640,3747,7.630,3327,7.620,824,7.670,1739,7.680,1306,7.690,2154,7.700,1695,7.710,2017-12-06,13:40:18,000338
0,潍柴动力,7.720,7.730,7.670,7.800,7.630,7.660,7.670,37299340,288198937.630,8,7.660,3141,7.650,4111,7.640,3744,7.630,3448,7.620,1895,7.670,1564,7.680,1132,7.690,2133,7.700,1745,7.710,2017-12-06,13:42:24,000338
0,潍柴动力,7.720,7.730,7.670,7.800,7.630,7.660,7.670,37308540,288269397.630,130,7.660,3133,7.650,4111,7.640,3744,7.630,3448,7.620,1840,7.670,1564,7.680,1132,7.690,2133,7.700,1745,7.710,2017-12-06,13:42:27,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37513140,289835455.630,2008,7.650,4158,7.640,3744,7.630,3448,7.620,3953,7.610,264,7.660,1735,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:21,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37531240,289974071.630,1994,7.650,4158,7.640,3744,7.630,3448,7.620,3953,7.610,143,7.660,1755,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:24,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37548040,290102689.630,1923,7.650,4158,7.640,3744,7.630,3448,7.620,3953,7.610,54,7.660,1755,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:30,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37562040,290209851.630,1846,7.650,4158,7.640,3726,7.630,3448,7.620,3953,7.610,22,7.660,1725,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:33,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37562840,290215979.630,1866,7.650,4158,7.640,3726,7.630,3448,7.620,3953,7.610,54,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:36,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37562840,290215979.630,1866,7.650,4158,7.640,3726,7.630,3448,7.620,3953,7.610,54,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:36,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37575740,290314718.630,2041,7.650,4158,7.640,3726,7.630,3448,7.620,3953,7.610,946,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:42,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37575840,290315484.630,2061,7.650,4158,7.640,3713,7.630,3448,7.620,3956,7.610,1070,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:45,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37591940,290438667.630,1948,7.650,4161,7.640,3713,7.630,3448,7.620,3956,7.610,1102,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:48,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,37591940,290438667.630,1948,7.650,4161,7.640,3713,7.630,3448,7.620,3956,7.610,1102,7.660,1711,7.670,1574,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:48,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37623040,290676582.630,1639,7.650,4172,7.640,3713,7.630,3448,7.620,3956,7.610,1102,7.660,1780,7.670,1564,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:51,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37697140,291244111.630,1570,7.650,4176,7.640,3713,7.630,3448,7.620,3956,7.610,438,7.660,1794,7.670,1564,7.680,1132,7.690,2150,7.700,2017-12-06,13:43:54,000338
0,潍柴动力,7.720,7.730,7.650,7.800,7.630,7.650,7.660,37736040,291541710.630,1275,7.650,3564,7.640,3713,7.630,3448,7.620,3956,7.610,700,7.660,1794,7.670,1564,7.680,1105,7.690,2150,7.700,2017-12-06,13:44:00,000338
0,潍柴动力,7.720,7.730,7.660,7.800,7.630,7.650,7.660,38609860,298228259.630,2499,7.650,6424,7.640,3042,7.630,3368,7.620,4718,7.610,1203,7.660,1884,7.670,1511,7.680,1083,7.690,2295,7.700,2017-12-06,13:46:54,000338
