,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,300696,N爱乐达,航空,四川,30.9,0.17,0.69,37354.26,18442.07,14180.12,14726.65,2.14,0.521,5.95,5.42,20170822,9456.8,1.37,0.0,0.0,74.23,56.41,34504
1,603976,N正川,医疗保健,重庆,26.23,0.27,1.08,67196.45,33783.23,29385.3,26903.93,2.49,0.393,6.55,3.15,20170822,15434.8,1.43,0.0,0.0,31.98,16.32,29235
2,300693,N盛弘,电气设备,深圳,29.86,0.23,0.91,48484.3,46361.6,1271.91,7639.62,0.84,0.348,3.98,5.21,20170822,11718.26,1.28,0.0,0.0,50.01,13.38,46482
3,2488,金固股份,汽车配件,浙江,0.0,3.85,6.72,667188.88,440064.59,110180.65,333892.13,4.97,-0.12,5.96,1.97,20101021,-6892.0,-0.1,20.74,-43.85,16.23,-4.98,59894
4,2738,中矿资源,建筑施工,北京,119.54,1.03,1.92,100497.74,70570.61,19990.67,25917.07,1.35,0.098,3.31,7.1,20141230,38743.53,2.01,85.34,13.1,32.12,9.39,17145
5,2824,和胜股份,铝,广东,56.71,0.45,1.8,82303.56,54008.41,20813.48,38775.05,2.15,0.104,3.95,5.98,20170112,17996.76,1.0,0.0,0.0,21.45,9.96,23742
6,601326,秦港股份,港口,河北,22.37,5.58,55.87,2604904.25,378642.06,1140481.38,450637.81,0.81,0.11,2.4,2.06,20170816,144972.61,0.26,0.0,0.0,38.15,18.18,423429
7,2037,久联发展,化工原料,贵州,195.75,3.27,3.27,701940.38,404118.75,115453.55,62000.44,1.89,0.02,6.19,2.5,20040908,86644.3,2.65,47.29,125.62,23.39,0.93,16619
8,2891,中宠股份,饲料,山东,28.5,0.25,1.0,66518.75,38818.45,16830.4,10841.17,1.08,0.43,4.6,5.32,20170821,14454.72,1.45,0.0,0.0,27.19,9.21,50740
9,603668,天马科技,饲料,福建,49.46,0.74,2.97,137439.97,98873.75,21592.7,17778.48,0.6,0.157,2.6,5.95,20170117,24450.73,0.82,27.03,30.91,24.31,10.52,23497
10,300688,创业黑马,综合类,北京,73.89,0.17,0.68,25834.39,24320.26,377.81,8040.6,1.18,0.225,3.76,8.84,20170810,5615.93,0.83,0.0,0.0,60.72,21.04,34007
11,603985,恒润股份,钢加工,江苏,29.98,0.2,0.8,95272.86,55075.63,28538.02,13764.65,1.72,0.38,7.65,5.96,20170505,25272.65,3.16,0.0,0.0,37.5,17.22,18591
12,2868,绿康生化,农业综合,福建,35.82,0.3,1.2,70892.21,44968.76,20175.85,37592.82,3.13,0.49,5.47,5.1,20170503,13327.25,1.11,0.0,0.0,42.97,25.1,24510
13,603298,杭叉集团,专用机械,浙江,27.63,0.87,6.19,500162.31,401005.81,56553.76,95916.55,1.55,0.191,5.37,3.93,20161227,150282.13,2.43,0.0,0.0,20.31,7.38,45225
14,300675,建科院,建筑施工,深圳,633.34,0.37,1.47,56403.58,32454.31,7030.62,5581.03,0.38,0.022,2.62,10.87,20170719,11284.71,0.77,0.0,0.0,33.37,2.32,71425
15,300685,艾德生物,生物制药,福建,68.84,0.2,0.8,40110.23,25382.92,0.0,0.0,0.0,0.551,5.87,12.93,20170802,0.0,0.0,0.0,0.0,0.0,29.65,40009
16,300690,双一科技,矿物制品,山东,46.43,0.17,0.69,53612.11,0.0,0.0,0.0,0.0,0.338,6.97,9.0,20170808,0.0,0.0,0.0,0.0,0.0,23.63,34717
17,603129,春风动力,摩托车,浙江,26.11,0.33,1.33,111927.35,85526.88,20898.36,20709.25,1.55,0.455,4.51,5.27,20170818,14453.17,1.08,0.0,0.0,34.02,7.32,34961
18,603776,永安行,公共交通,江苏,40.26,0.24,0.96,151001.23,80017.61,13221.05,18186.32,1.89,0.639,8.35,6.16,20170817,32058.58,3.34,0.0,0.0,28.31,12.93,25199
19,603721,中广天择,影视音像,湖南,22.41,0.25,1.0,45773.48,30982.33,2099.07,13756.8,1.38,0.442,5.03,3.94,20170811,15035.73,1.5,0.0,0.0,35.66,23.27,26418
20,2892,科力尔,电气设备,湖南,38.88,0.18,0.84,45364.44,27348.35,16422.97,10559.05,1.26,0.433,4.08,8.26,20170817,8897.21,1.06,0.0,0.0,28.04,12.92,37145
21,2116,中国海诚,建筑施工,上海,33.66,4.15,4.17,370945.91,332441.47,25511.42,10136.48,0.24,0.105,2.89,4.87,20070215,56779.53,1.36,-15.15,-9.7,9.28,4.41,22703
22,603602,纵横通信,通信设备,浙江,74.73,0.2,0.8,69733.24,68827.21,655.98,0.0,0.0,0.314,5.71,8.21,20170810,24770.73,3.1,0.0,0.0,23.11,9.98,18720
23,603799,华友钴业,小金属,浙江,41.4,2.71,5.93,1103506.5,606465.75,304168.19,296162.97,5.0,0.425,7.76,9.06,20150129,85166.43,1.44,66.01,820.97,31.05,14.4,44620
