,time,price,change,volume,amount,type
0,15:00:03,8.58,--,12938,11100804,中性盘
1,14:57:00,8.58,-0.01,260,223080,中性盘
2,14:56:57,8.59,0.02,1070,919130,买盘
3,14:56:51,8.57,-0.01,454,389078,卖盘
4,14:56:48,8.58,--,61,52338,买盘
5,14:56:45,8.58,0.01,193,165594,买盘
6,14:56:42,8.57,--,40,34280,卖盘
7,14:56:39,8.57,0.01,243,208251,买盘
8,14:56:36,8.56,-0.02,440,376640,卖盘
9,14:56:33,8.58,0.02,4905,4208490,买盘
10,14:56:30,8.56,-0.01,404,345824,卖盘
11,14:56:27,8.57,--,501,429357,买盘
12,14:56:24,8.57,0.01,743,636751,买盘
13,14:56:21,8.56,--,411,351816,卖盘
14,14:56:18,8.56,--,88,75328,卖盘
15,14:56:15,8.56,--,1969,1685977,买盘
16,14:56:12,8.56,--,117,100152,买盘
17,14:56:09,8.56,--,662,566672,买盘
18,14:56:06,8.56,--,789,675384,卖盘
19,14:56:03,8.56,--,44,37664,卖盘
20,14:56:00,8.56,--,81,69336,卖盘
21,14:55:57,8.56,--,1139,974984,卖盘
22,14:55:54,8.56,--,228,195168,卖盘
23,14:55:51,8.56,--,112,95872,买盘
24,14:55:48,8.56,0.01,194,166064,买盘
25,14:55:45,8.55,-0.01,645,551475,卖盘
26,14:55:42,8.56,0.01,300,256800,买盘
27,14:55:39,8.55,-0.01,401,342855,卖盘
28,14:55:36,8.56,--,730,624880,买盘
29,14:55:33,8.56,--,203,173768,买盘
30,14:55:30,8.56,-0.01,1118,957008,卖盘
31,14:55:27,8.57,--,159,136263,买盘
32,14:55:24,8.57,0.01,16,13712,买盘
33,14:55:21,8.56,--,323,276488,卖盘
34,14:55:18,8.56,--,201,172056,卖盘
35,14:55:15,8.56,--,74,63344,卖盘
36,14:55:12,8.56,--,322,275632,卖盘
37,14:55:09,8.56,--,120,102720,卖盘
38,14:55:06,8.56,--,196,167776,卖盘
39,14:55:03,8.56,--,391,334696,买盘
40,14:55:00,8.56,--,114,97584,买盘
41,14:54:57,8.56,--,651,557256,买盘
42,14:54:54,8.56,--,178,152368,买盘
43,14:54:51,8.56,--,264,225984,买盘
44,14:54:48,8.56,0.01,241,206296,买盘
45,14:54:45,8.55,-0.01,85,72675,卖盘
46,14:54:42,8.56,0.01,100,85600,买盘
47,14:54:39,8.55,--,76,64980,卖盘
48,14:54:36,8.55,--,62,53010,卖盘
49,14:54:33,8.55,-0.01,190,162450,卖盘
50,14:54:30,8.56,0.01,23,19688,买盘
51,14:54:27,8.55,--,462,395010,卖盘
52,14:54:24,8.55,--,314,268470,买盘
53,14:54:21,8.55,--,37,31635,买盘
54,14:54:18,8.55,0.01,1,855,买盘
55,14:54:15,8.54,--,115,98209,卖盘
56,14:54:12,8.54,--,205,175069,卖盘
57,14:54:09,8.54,--,312,266448,卖盘
58,14:54:06,8.54,--,3550,3031699,卖盘
59,14:54:03,8.54,--,13,11101,卖盘
60,14:54:00,8.54,--,19,16225,卖盘
61,14:53:57,8.54,-0.01,135,115289,卖盘
62,14:53:54,8.55,0.01,218,186390,买盘
63,14:53:51,8.54,--,92,78567,卖盘
64,14:53:48,8.54,--,93,79421,卖盘
65,14:53:45,8.54,0.01,129,110165,卖盘
66,14:53:42,8.53,-0.01,853,727609,卖盘
67,14:53:39,8.54,0.01,1798,1535833,买盘
68,14:53:36,8.53,--,149,127096,卖盘
69,14:53:33,8.53,--,209,178277,卖盘
70,14:53:30,8.53,--,4,3411,卖盘
71,14:53:27,8.53,--,79,67387,卖盘
72,14:53:24,8.53,-0.01,244,208131,卖盘
73,14:53:21,8.54,0.01,106,90523,买盘
74,14:53:18,8.53,-0.01,61,52032,卖盘
75,14:53:15,8.54,0.01,65,55509,买盘
76,14:53:12,8.53,--,145,123684,卖盘
77,14:53:09,8.53,--,81,69093,卖盘
78,14:53:06,8.53,--,109,92977,卖盘
