,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.01,8.0,7.95,8.02,7.87,7.92,1856244,0.80566,14812815,27.586,2.763,460800.0,184320.0
1,603998,方盛制药,-1.671,11.18,11.34,11.37,11.15,11.37,1727110,0.64163,19336717,69.875,4.82,481786.97346,300940.13196
2,603997,继峰股份,-0.341,11.68,11.68,11.76,11.52,11.72,1511000,0.88363,17635633,19.797,4.462,735840.0,199728.0
3,603996,中新科技,0.61,18.15,18.1,18.31,18.0,18.04,2776900,2.68884,50405325,46.538,3.836,544772.25,187444.125
4,603993,洛阳钼业,0.424,7.1,7.1,7.19,6.81,7.07,191057238,1.47492,1337656892,118.333,4.114,15335460.8139,9197148.79629
5,603991,至正股份,0.397,30.35,30.08,30.51,30.04,30.23,306600,1.63957,9302319,45.299,5.096,226213.71893,56754.5
6,603990,麦迪科技,0.476,33.76,33.55,33.95,33.18,33.6,211400,1.057,7113359,45.013,6.66,273194.6976,67520.0
7,603989,艾华集团,0.077,38.79,38.51,39.18,38.51,38.76,900695,1.06749,35032471,44.08,6.591,1163700.0,327290.625
8,603988,中电电机,1.092,51.82,51.5,52.38,51.2,51.26,312200,0.26017,16187586,172.733,6.299,621840.0,621840.0
9,603987,康德莱,3.918,12.73,12.25,12.88,12.24,12.25,3036624,1.59762,38566181,20.532,3.352,401548.755,241960.95585
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0,0.0,0,77.049,20.619,3306344.43013,2403497.3492
11,603985,恒润股份,0.882,40.03,39.6,40.24,39.6,39.68,374400,1.872,14952602,25.358,3.282,320240.0,80060.0
12,603980,吉华集团,0.331,21.21,21.3,21.55,21.01,21.14,3771511,3.77151,80072809,22.186,2.735,1060500.0,212100.0
13,603979,金诚信,0.093,10.78,10.84,10.85,10.66,10.77,1905240,0.78353,20525713,25.667,1.659,630630.0,262126.82496
14,603978,深圳新星,1.418,92.95,92.26,93.49,90.55,91.65,1101400,5.507,101455051,42.059,5.735,743600.0,185900.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0,0.0,0,28.458,3.964,371193.32,211016.72
16,603976,正川股份,2.662,28.15,27.59,28.3,27.42,27.42,1074106,3.97817,30172532,32.356,3.243,304020.0,76005.0
17,603970,中农立华,0.123,32.55,33.91,35.76,32.5,32.51,22073291,66.21974,749349345,39.831,8.622,434000.217,108500.217
18,603969,银龙股份,1.932,13.19,12.95,13.21,12.92,12.94,3111751,2.03875,40822660,36.639,3.298,527600.0,201319.6295
19,603968,醋化股份,1.29,20.42,20.25,20.49,20.12,20.16,864999,0.63323,17581767,28.361,3.248,417548.16,278937.2
20,603966,法兰泰克,0.558,18.02,18.08,18.08,17.88,17.92,790200,1.9755,14209343,38.34,3.601,288320.0,72080.0
21,603963,大理药业,0.86,28.14,27.91,28.2,27.82,27.9,1064721,4.25888,29838022,33.904,6.144,281400.0,70350.0
22,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0,0.0,0,54.25,8.141,338520.0,84630.0
23,603959,百利科技,0.8,28.97,28.01,29.79,28.0,28.74,1336367,1.25598,38961600,54.66,7.145,648928.0,308240.8
24,603958,哈森股份,1.339,15.14,14.85,15.29,14.84,14.94,1617518,2.45082,24475434,35.792,2.899,329083.04,99922.479944
25,603955,大千生态,1.761,48.55,47.59,48.58,47.57,47.71,1355094,6.23032,65270668,45.476,4.071,422385.0,105596.25
26,603939,益丰药房,0.415,41.12,40.21,41.39,40.2,40.95,593101,0.29849,24362405,62.021,4.852,1491400.4337,817065.329696
27,603938,三孚股份,0.139,36.07,35.69,37.0,35.66,36.02,3468647,9.23579,126247597,50.097,5.822,541650.9262,135466.6562
28,603937,丽岛新材,-4.526,24.89,25.38,25.87,24.8,26.07,14082640,26.96791,357380245,44.446,5.065,519902.32,129975.58
29,603936,博敏电子,0.0,28.85,0.0,0.0,0.0,28.85,0,0.0,0,90.439,4.923,482804.75,161848.5
30,603933,睿能科技,1.662,53.83,53.15,54.2,52.72,52.95,1321297,5.14724,70902964,44.367,5.736,552672.61,138181.61
31,603929,亚翔集成,3.869,28.19,27.2,29.18,27.0,27.14,4883034,9.15111,138137163,27.369,6.296,601461.84,150421.84
32,603928,兴业股份,0.697,15.9,15.72,15.96,15.71,15.79,651796,1.29325,10342127,23.382,2.933,320544.0,80136.0
33,603926,铁流股份,0.174,28.74,28.59,28.78,28.36,28.69,1071409,3.57136,30639051,23.177,3.003,344880.0,86220.0
34,603922,金鸿顺,0.035,28.99,28.9,29.18,28.7,28.98,1269102,3.96594,36724987,26.117,4.801,371072.0,92768.0
35,603920,世运电路,1.114,19.97,19.57,20.08,19.42,19.75,4971554,5.5986,98660545,23.494,3.452,802394.6,177333.6
36,603919,金徽酒,0.167,17.99,18.18,18.18,17.93,17.96,902722,0.77929,16245762,21.165,3.74,654836.0,208393.37155
37,603918,金桥信息,0.743,18.99,18.65,19.01,18.65,18.85,338611,0.27453,6419740,118.687,7.033,336740.175,234230.256
