,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.254,7.9,7.93,7.93,7.78,7.88,1286722,0.55847,10149333,27.241,2.728,455040.0,182016.0
1,603998,方盛制药,-2.063,11.87,12.16,12.16,11.79,12.12,2208170,0.82034,26304373,74.188,5.117,511521.58989,319513.36014
2,603997,继峰股份,4.488,11.64,11.13,11.78,11.1,11.14,4467663,2.61267,51320357,19.729,4.447,733320.0,199044.0
3,603996,中新科技,2.045,17.96,17.79,18.04,17.6,17.6,2779450,2.69131,49750700,46.051,3.795,539069.4,185481.9
4,603993,洛阳钼业,6.858,6.7,6.28,6.84,6.13,6.27,237426919,1.83288,1540702918,111.667,3.882,14471491.1906,8678999.56833
5,603991,至正股份,-1.057,31.84,32.1,32.36,31.71,32.18,424800,2.27166,13626928,47.522,5.347,237319.433632,59540.8
6,603990,麦迪科技,-1.995,34.88,34.8,35.08,34.18,35.59,574747,2.87374,19926684,46.507,6.881,282258.0288,69760.0
7,603989,艾华集团,-0.396,40.27,40.22,41.21,39.5,40.43,1757714,2.08322,71075210,45.761,6.842,1208100.0,339778.125
8,603988,中电电机,3.4,51.4,49.9,52.42,49.69,49.71,869914,0.72493,44655936,171.333,6.248,616800.0,616800.0
9,603987,康德莱,1.284,12.62,12.4,12.71,12.2,12.46,1367563,0.7195,17228948,20.355,3.323,398078.97,239870.1699
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0,0.0,0,77.049,20.619,3306344.43013,2403497.3492
11,603985,恒润股份,0.431,39.62,39.25,39.94,39.02,39.45,390298,1.95149,15460224,25.098,3.248,316960.0,79240.0
12,603980,吉华集团,-0.446,20.08,20.0,20.29,19.92,20.17,1869852,1.86985,37639058,21.004,2.59,1004000.0,200800.0
13,603979,金诚信,1.709,10.71,10.5,10.79,10.46,10.53,2943212,1.2104,31393510,25.5,1.648,626535.0,260424.70272
14,603978,深圳新星,0.422,92.75,89.99,94.0,89.99,92.36,1256222,6.28111,115856477,41.968,5.722,742000.0,185500.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0,0.0,0,28.458,3.964,371193.32,211016.72
16,603976,正川股份,0.671,27.01,26.83,27.19,26.64,26.83,1002124,3.71157,27009930,31.046,3.112,291708.0,72927.0
17,603970,中农立华,-5.98,27.2,31.5,31.5,26.88,28.93,15736243,47.20863,449685732,33.284,7.205,362666.848,90666.848
18,603969,银龙股份,0.549,12.82,12.75,12.98,12.7,12.75,3089863,2.02441,39741784,35.611,3.206,512800.0,195672.301
19,603968,醋化股份,0.199,20.11,19.89,20.29,19.88,20.07,509758,0.37318,10242753,27.931,3.199,411209.28,274702.6
20,603966,法兰泰克,0.226,17.73,17.69,18.2,17.68,17.69,980900,2.45225,17535046,37.723,3.543,283680.0,70920.0
21,603963,大理药业,-0.941,27.37,27.27,27.87,27.13,27.63,1129393,4.51757,31073765,32.976,5.976,273700.0,68425.0
22,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0,0.0,0,54.25,8.141,338520.0,84630.0
23,603959,百利科技,2.773,30.39,29.66,30.59,29.66,29.57,825099,0.77547,25006182,57.34,7.495,680736.0,323349.6
24,603958,哈森股份,-0.272,14.65,14.78,14.78,14.5,14.69,1159300,1.75654,16986634,34.634,2.805,318432.4,96688.52914
25,603955,大千生态,-0.27,51.77,51.66,52.88,50.9,51.91,2120752,9.75058,110040061,48.492,4.341,450399.0,112599.75
26,603939,益丰药房,0.623,40.39,39.98,41.19,39.98,40.14,1421219,0.71525,57403027,60.92,4.766,1464923.72366,802560.035662
27,603938,三孚股份,-1.672,37.64,37.3,39.5,36.65,38.28,5175370,13.78019,196889487,52.278,6.075,565227.0824,141363.0424
28,603937,丽岛新材,-6.797,22.35,23.6,24.1,22.2,23.98,12681661,24.28507,293913291,39.911,4.548,466846.8,116711.7
